A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index,Time series
0,0,0,0,0,0,0.0,0.0,0.0,18,0,8,2017-07-22 02:00:00
0,0,0,0,0,0,0.0,0.0,0.0,18,0,9,2017-07-22 02:15:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,10,2017-07-22 02:30:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,11,2017-07-22 02:45:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,12,2017-07-22 03:00:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,13,2017-07-22 03:15:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,14,2017-07-22 03:30:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,15,2017-07-22 03:45:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,16,2017-07-22 04:00:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,17,2017-07-22 04:15:00
0,0,0,0,1,0,0.0,0.0,1.0,17,3,18,2017-07-22 04:30:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,19,2017-07-22 04:45:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,20,2017-07-22 05:00:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,21,2017-07-22 05:15:00
0,0,0,0,0,0,0.0,0.0,0.0,17,1,22,2017-07-22 05:30:00
0,0,0,0,0,0,0.0,0.0,0.0,17,1,23,2017-07-22 05:45:00
0,0,0,0,0,0,0.0,0.0,0.0,17,1,24,2017-07-22 06:00:00
0,0,0,0,0,0,0.0,0.0,0.0,17,1,25,2017-07-22 06:15:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,26,2017-07-22 06:30:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,27,2017-07-22 06:45:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,28,2017-07-22 07:00:00
0,0,0,0,0,0,0.0,0.0,0.0,17,3,29,2017-07-22 07:15:00
0,0,0,1,1,1,0.0,0.0,3.0,18,2,30,2017-07-22 07:30:00
0,0,0,1,0,0,0.0,0.0,1.0,18,2,31,2017-07-22 07:45:00
0,0,0,1,1,0,0.0,0.0,2.0,18,2,32,2017-07-22 08:00:00
0,0,0,1,2,0,0.0,0.0,3.0,18,2,33,2017-07-22 08:15:00
0,0,0,1,3,2,0.0,0.0,6.0,20,3,34,2017-07-22 08:30:00
1,0,0,1,3,0,0.0,0.0,5.0,20,3,35,2017-07-22 08:45:00
0,0,0,1,2,0,0.0,0.0,3.0,21,3,36,2017-07-22 09:00:00
1,0,1,2,0,3,0.0,0.0,7.0,21,3,37,2017-07-22 09:15:00
0,0,1,1,0,1,0.0,0.0,3.0,21,3,38,2017-07-22 09:30:00
1,0,0,1,0,1,0.0,0.0,3.0,21,3,39,2017-07-22 09:45:00
1,0,0,1,0,3,0.0,0.0,5.0,22,3,40,2017-07-22 10:00:00
2,0,2,1,0,0,0.0,0.0,5.0,22,3,41,2017-07-22 10:15:00
0,1,3,1,0,1,0.0,0.0,6.0,23,2,42,2017-07-22 10:30:00
3,1,2,1,0,0,0.0,0.0,7.0,23,2,43,2017-07-22 10:45:00
2,3,1,2,0,2,0.0,0.0,10.0,23,2,44,2017-07-22 11:00:00
1,1,0,1,0,4,0.0,0.0,7.0,23,2,45,2017-07-22 11:15:00
3,1,3,1,1,2,0.0,0.0,11.0,24,2,46,2017-07-22 11:30:00
1,3,3,3,0,4,0.0,0.0,14.0,24,2,47,2017-07-22 11:45:00
7,4,0,1,1,1,0.0,0.0,14.0,25,2,48,2017-07-22 12:00:00
1,2,4,1,2,2,0.0,0.0,12.0,25,2,49,2017-07-22 12:15:00
1,4,3,0,2,3,0.0,0.0,13.0,25,2,50,2017-07-22 12:30:00
3,1,0,3,0,5,0.48323219975226767,0.7839122560219141,12.0,25,2,51,2017-07-22 12:45:00
6,6,3,6,3,2,0.48323219975226767,0.7839122560219141,26.0,26,2,52,2017-07-22 13:00:00
6,5,1,0,2,7,0.48323219975226767,0.7839122560219141,21.0,26,2,53,2017-07-22 13:15:00
6,3,9,3,1,6,0.48323219975226767,0.7839122560219141,28.0,27,1,54,2017-07-22 13:30:00
4,6,5,3,3,8,0.45303018726775096,0.7839122560219141,29.0,27,1,55,2017-07-22 13:45:00
5,5,6,4,3,2,0.45303018726775096,0.7839122560219141,25.0,26,1,56,2017-07-22 14:00:00
8,6,10,2,2,5,0.45303018726775096,0.7839122560219141,33.0,26,1,57,2017-07-22 14:15:00
10,9,7,2,1,6,0.45303018726775096,0.5752592768889914,35.0,26,1,58,2017-07-22 14:30:00
9,11,4,7,1,11,0.45303018726775096,0.5752592768889914,43.0,26,1,59,2017-07-22 14:45:00
8,9,8,3,1,12,0.45303018726775096,0.5752592768889914,41.0,27,1,60,2017-07-22 15:00:00
7,10,11,2,0,8,0.45303018726775096,0.5752592768889914,38.0,27,1,61,2017-07-22 15:15:00
7,10,10,8,1,11,0.45303018726775096,0.5752592768889914,47.0,27,2,62,2017-07-22 15:30:00
7,11,8,4,4,6,0.8480894349756523,0.7639312224802616,40.0,27,2,63,2017-07-22 15:45:00
13,8,8,8,4,6,0.8480894349756523,0.7639312224802616,47.0,28,2,64,2017-07-22 16:00:00
8,6,7,12,3,5,0.8480894349756523,0.7639312224802616,41.0,28,2,65,2017-07-22 16:15:00
14,5,4,7,6,5,0.8480894349756523,0.7639312224802616,41.0,28,2,66,2017-07-22 16:30:00
12,7,8,6,1,10,0.8480894349756523,0.7639312224802616,44.0,28,2,67,2017-07-22 16:45:00
13,6,9,1,2,7,0.8480894349756523,0.7670123691853219,38.0,28,2,68,2017-07-22 17:00:00
11,7,11,7,4,11,0.8748765091174405,0.7670123691853219,51.0,28,2,69,2017-07-22 17:15:00
10,10,15,0,5,6,0.8748765091174405,0.7670123691853219,46.0,29,2,70,2017-07-22 17:30:00
13,7,9,4,3,7,0.8748765091174405,0.7670123691853219,43.0,29,2,71,2017-07-22 17:45:00
18,3,5,6,5,7,0.8748765091174405,0.7670123691853219,44.0,29,2,72,2017-07-22 18:00:00
13,6,10,4,4,1,0.8748765091174405,0.6080705200202146,38.0,29,2,73,2017-07-22 18:15:00
23,7,6,2,1,2,0.8748765091174405,0.6080705200202146,41.0,29,2,74,2017-07-22 18:30:00
17,1,10,3,5,6,0.9062833367737335,0.5752592768889914,42.0,29,2,75,2017-07-22 18:45:00
24,3,3,3,3,4,0.9062833367737335,0.5752592768889914,40.0,29,2,76,2017-07-22 19:00:00
11,4,4,3,2,8,0.9062833367737335,0.5752592768889914,32.0,29,2,77,2017-07-22 19:15:00
9,4,7,0,3,8,0.9062833367737335,0.5752592768889914,31.0,28,3,78,2017-07-22 19:30:00
9,5,3,0,2,9,0.9062833367737335,0.5752592768889914,28.0,28,3,79,2017-07-22 19:45:00
13,6,9,1,3,6,0.9062833367737335,0.8228852290516082,38.0,28,3,80,2017-07-22 20:00:00
18,5,12,2,5,8,0.9062833367737335,0.8228852290516082,50.0,28,3,81,2017-07-22 20:15:00
10,3,6,0,5,8,0.9062833367737335,0.8228852290516082,32.0,27,3,82,2017-07-22 20:30:00
9,5,10,0,7,2,0.7550503121129183,0.8228852290516082,33.0,27,3,83,2017-07-22 20:45:00
11,4,7,2,4,6,0.7550503121129183,0.8228852290516082,34.0,26,3,84,2017-07-22 21:00:00
9,5,8,4,4,3,0.7550503121129183,0.8228852290516082,33.0,26,3,85,2017-07-22 21:15:00
8,7,3,1,6,6,0.7550503121129183,0.8228852290516082,31.0,25,3,86,2017-07-22 21:30:00
8,4,8,1,2,4,0.7550503121129183,0.8228852290516082,27.0,25,3,87,2017-07-22 21:45:00
7,2,2,6,3,7,0.7550503121129183,0.8429081508122938,27.0,24,3,88,2017-07-22 22:00:00
5,0,4,2,2,6,0.7550503121129183,0.8429081508122938,19.0,24,3,89,2017-07-22 22:15:00
0,2,4,2,1,1,0.7550503121129183,0.8429081508122938,10.0,22,2,90,2017-07-22 22:30:00
1,2,2,2,0,0,0.6671131545326969,0.8429081508122938,7.0,22,2,91,2017-07-22 22:45:00
1,3,0,2,0,1,0.6671131545326969,0.8429081508122938,7.0,23,3,92,2017-07-22 23:00:00
0,0,1,0,0,0,0.6671131545326969,0.8429081508122938,1.0,23,3,93,2017-07-22 23:15:00
0,0,0,0,0,0,0.0,0.0,0.0,23,3,94,2017-07-22 23:30:00
0,0,0,1,0,0,0.0,0.0,1.0,23,3,95,2017-07-22 23:45:00
0,0,0,0,0,0,0.0,0.0,0.0,22,3,0,2017-07-23 00:00:00
0,0,0,0,0,0,0.0,0.0,0.0,22,3,1,2017-07-23 00:15:00
0,0,0,0,0,0,0.0,0.0,0.0,21,3,2,2017-07-23 00:30:00
0,0,0,0,0,0,0.0,0.0,0.0,21,3,3,2017-07-23 00:45:00
0,0,0,0,0,0,0.0,0.0,0.0,21,3,4,2017-07-23 01:00:00
0,0,0,0,0,0,0.0,0.0,0.0,21,3,5,2017-07-23 01:15:00
0,0,0,0,0,0,0.0,0.0,0.0,21,2,6,2017-07-23 01:30:00
0,0,0,0,0,0,0.0,0.0,0.0,21,2,7,2017-07-23 01:45:00
0,0,0,0,0,0,0.0,0.0,0.0,21,2,8,2017-07-23 02:00:00
0,0,0,0,0,0,0.0,0.0,0.0,21,2,9,2017-07-23 02:15:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,10,2017-07-23 02:30:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,11,2017-07-23 02:45:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,12,2017-07-23 03:00:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,13,2017-07-23 03:15:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,14,2017-07-23 03:30:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,15,2017-07-23 03:45:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,16,2017-07-23 04:00:00
0,0,0,0,0,0,0.0,0.0,0.0,20,2,17,2017-07-23 04:15:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,18,2017-07-23 04:30:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,19,2017-07-23 04:45:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,20,2017-07-23 05:00:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,21,2017-07-23 05:15:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,22,2017-07-23 05:30:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,23,2017-07-23 05:45:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,24,2017-07-23 06:00:00
0,1,2,0,0,0,0.0,0.0,3.0,18,2,25,2017-07-23 06:15:00
0,0,0,0,0,0,0.0,0.0,0.0,18,2,26,2017-07-23 06:30:00
0,0,0,3,1,0,0.0,0.0,4.0,18,2,27,2017-07-23 06:45:00
1,2,0,2,0,1,0.0,0.0,6.0,18,2,28,2017-07-23 07:00:00
3,0,0,4,1,3,0.0,0.0,11.0,18,2,29,2017-07-23 07:15:00
3,1,1,2,1,2,0.0,0.0,10.0,18,1,30,2017-07-23 07:30:00
9,0,1,0,0,3,0.0,0.0,13.0,18,1,31,2017-07-23 07:45:00
7,2,3,3,2,1,0.0,0.0,18.0,19,2,32,2017-07-23 08:00:00
8,0,4,5,1,3,0.0,0.0,21.0,19,2,33,2017-07-23 08:15:00
9,0,1,8,2,2,0.0,0.0,22.0,19,2,34,2017-07-23 08:30:00
15,1,3,2,3,0,0.0,0.0,24.0,19,2,35,2017-07-23 08:45:00
9,1,2,1,2,2,0.0,0.0,17.0,19,2,36,2017-07-23 09:00:00
12,1,4,2,0,1,0.0,0.0,20.0,19,2,37,2017-07-23 09:15:00
13,1,4,1,3,1,0.0,0.0,23.0,19,2,38,2017-07-23 09:30:00
12,0,5,4,1,2,0.0,0.0,24.0,19,2,39,2017-07-23 09:45:00
11,2,4,1,1,5,0.0,0.0,24.0,19,2,40,2017-07-23 10:00:00
7,2,3,1,2,5,0.0,0.0,20.0,19,2,41,2017-07-23 10:15:00
6,4,4,3,3,4,0.0,0.0,24.0,19,2,42,2017-07-23 10:30:00
8,2,8,2,4,3,0.0,0.0,27.0,19,2,43,2017-07-23 10:45:00
8,2,4,1,4,4,0.0,0.0,23.0,20,1,44,2017-07-23 11:00:00
5,6,3,1,3,7,0.0,0.0,25.0,20,1,45,2017-07-23 11:15:00
2,4,2,1,4,7,0.0,0.0,20.0,21,1,46,2017-07-23 11:30:00
1,7,5,0,3,5,0.0,0.0,21.0,21,1,47,2017-07-23 11:45:00
0,6,3,0,3,7,0.0,0.0,19.0,21,1,48,2017-07-23 12:00:00
1,5,5,3,1,5,0.0,0.0,20.0,21,1,49,2017-07-23 12:15:00
2,4,8,1,3,10,0.0,0.0,28.0,21,1,50,2017-07-23 12:30:00
4,7,3,0,1,7,0.0,0.0,22.0,21,1,51,2017-07-23 12:45:00
4,12,6,1,4,8,0.0,0.0,35.0,22,1,52,2017-07-23 13:00:00
7,5,5,4,4,5,0.0,0.0,30.0,22,1,53,2017-07-23 13:15:00
8,12,7,3,1,5,0.0,0.0,36.0,22,1,54,2017-07-23 13:30:00
11,3,10,1,5,10,0.0,0.0,40.0,22,1,55,2017-07-23 13:45:00
9,8,6,6,4,6,0.0,0.0,39.0,21,2,56,2017-07-23 14:00:00
6,5,13,3,5,5,0.0,0.0,37.0,21,2,57,2017-07-23 14:15:00
18,5,8,4,4,6,0.0,0.0,45.0,22,2,58,2017-07-23 14:30:00
12,7,7,3,2,7,0.45307632293234396,0.0,38.0,22,2,59,2017-07-23 14:45:00
13,5,10,1,3,3,0.45307632293234396,0.0,35.0,23,2,60,2017-07-23 15:00:00
11,8,7,4,0,5,0.45307632293234396,0.0,35.0,23,2,61,2017-07-23 15:15:00
11,10,10,2,3,10,0.45307632293234396,0.0,46.0,23,2,62,2017-07-23 15:30:00
11,16,10,4,3,5,0.45307632293234396,0.0,49.0,23,2,63,2017-07-23 15:45:00
14,8,8,6,1,7,0.45307632293234396,0.0,44.0,22,2,64,2017-07-23 16:00:00
12,4,15,3,5,6,0.48323219975226767,0.5700661125189511,45.0,22,2,65,2017-07-23 16:15:00
13,3,17,7,4,7,0.48323219975226767,0.5700661125189511,51.0,23,2,66,2017-07-23 16:30:00
16,7,10,7,2,8,0.48323219975226767,0.5700661125189511,50.0,23,2,67,2017-07-23 16:45:00
21,5,3,6,3,3,0.48323219975226767,0.5700661125189511,41.0,23,2,68,2017-07-23 17:00:00
18,3,5,3,5,1,0.48323219975226767,0.5700661125189511,35.0,23,2,69,2017-07-23 17:15:00
19,0,4,3,9,4,0.8070736830606344,0.5700661125189511,39.0,23,2,70,2017-07-23 17:30:00
11,2,1,1,6,2,0.8070736830606344,0.6080705200202146,23.0,23,2,71,2017-07-23 17:45:00
14,0,2,1,9,6,0.8070736830606344,0.6080705200202146,32.0,22,2,72,2017-07-23 18:00:00
9,4,5,4,7,5,0.8070736830606344,0.6080705200202146,34.0,22,2,73,2017-07-23 18:15:00
18,3,11,4,1,5,0.8070736830606344,0.6080705200202146,42.0,22,2,74,2017-07-23 18:30:00
17,2,6,1,5,2,0.8070736830606344,0.6080705200202146,33.0,22,2,75,2017-07-23 18:45:00
12,2,6,1,6,4,0.6779472517676925,0.6080705200202146,31.0,22,2,76,2017-07-23 19:00:00
19,3,5,2,7,3,0.6779472517676925,0.5752592768889914,39.0,22,2,77,2017-07-23 19:15:00
18,2,4,1,12,9,0.6779472517676925,0.7947776680778615,46.0,22,2,78,2017-07-23 19:30:00
12,0,5,3,7,5,0.6779472517676925,0.7947776680778615,32.0,22,2,79,2017-07-23 19:45:00
11,1,4,3,8,1,0.6779472517676925,0.7947776680778615,28.0,21,3,80,2017-07-23 20:00:00
14,0,3,3,8,4,0.6779472517676925,0.7947776680778615,32.0,21,3,81,2017-07-23 20:15:00
15,4,6,3,11,7,0.6779472517676925,0.7947776680778615,46.0,21,3,82,2017-07-23 20:30:00
12,2,8,5,9,8,0.9245350418790841,0.9258800742851085,44.0,21,3,83,2017-07-23 20:45:00
3,5,5,5,0,7,0.9245350418790841,0.9258800742851085,25.0,20,3,84,2017-07-23 21:00:00
2,3,5,1,1,2,0.9245350418790841,0.9258800742851085,14.0,20,3,85,2017-07-23 21:15:00
1,0,2,2,0,2,0.9245350418790841,0.9258800742851085,7.0,20,3,86,2017-07-23 21:30:00
0,0,0,0,1,1,0.9245350418790841,0.9258800742851085,2.0,20,3,87,2017-07-23 21:45:00
0,0,0,0,0,0,0.9245350418790841,0.9258800742851085,0.0,20,3,88,2017-07-23 22:00:00
0,0,1,0,0,0,0.9245350418790841,0.9258800742851085,1.0,20,3,89,2017-07-23 22:15:00
0,0,1,0,0,0,0.9245350418790841,0.9258800742851085,1.0,19,3,90,2017-07-23 22:30:00
0,0,0,0,0,0,0.0,0.9083908926041908,0.0,19,3,91,2017-07-23 22:45:00
0,0,0,0,0,0,0.0,0.9083908926041908,0.0,19,3,92,2017-07-23 23:00:00
0,0,0,0,0,0,0.0,0.0,0.0,19,3,93,2017-07-23 23:15:00
0,0,0,0,0,0,0.0,0.0,0.0,19,3,94,2017-07-23 23:30:00
0,0,0,0,0,0,0.0,0.0,0.0,19,3,95,2017-07-23 23:45:00
