A,B,C,D,E,F,Apop,Cpop,Total users,Temperature,Conditions,Time index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.8,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.2,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,2.4,29
0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.6,18.0,2.0,30
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,18.0,2.0,31
0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,1.0,18.0,2.0,32
0.0,0.0,0.0,1.0,0.6,0.0,0.0,0.0,1.6,19.2,2.6,33
0.0,0.4,0.0,1.2,0.2,0.0,0.0,0.0,1.8,20.0,3.0,34
0.2,0.0,0.0,1.6,0.4,0.0,0.0,0.0,2.2,20.6,3.0,35
0.0,0.2,0.0,1.0,0.2,0.2,0.0,0.0,1.6,21.0,3.0,36
0.2,0.6,0.0,0.0,1.0,0.6,0.0,0.0,2.4,21.0,3.0,37
0.2,0.6,0.0,0.0,0.8,0.4,0.0,0.0,2.0,21.0,3.0,38
0.2,0.6,0.0,0.2,0.2,0.0,0.0,0.0,1.2,21.6,3.0,39
0.2,0.8,0.0,0.0,0.2,0.4,0.0,0.0,1.6,22.0,3.0,40
0.8,0.2,0.4,0.0,0.4,0.8,0.0,0.0,2.6,22.6,2.4,41
0.0,0.2,0.2,0.0,0.2,1.2,0.0,0.0,1.8,23.0,2.0,42
0.6,0.0,0.4,0.0,0.2,1.0,0.0,0.0,2.2,23.0,2.0,43
0.6,0.6,1.0,0.0,0.8,0.4,0.0,0.0,3.4,23.0,2.0,44
0.4,1.0,0.6,0.2,0.2,0.0,0.0,0.0,2.4,23.6,2.0,45
1.4,0.8,0.8,0.8,0.2,1.6,0.0,0.0,5.6,24.0,2.0,46
1.6,1.2,1.6,0.4,1.0,1.0,0.0,0.0,6.8,24.6,2.0,47
3.8,0.8,1.8,1.0,0.2,0.2,0.0,0.0,7.8,25.0,2.0,48
0.8,0.6,1.2,1.4,0.4,1.4,0.0,0.0,5.8,25.0,2.0,49
1.0,1.4,2.2,0.4,0.0,0.8,0.0,0.0,5.8,25.0,2.0,50
1.8,1.2,0.2,0.0,1.2,0.2,0.09664643995045354,0.1567824512043828,4.6,25.6,2.0,51
3.4,0.8,1.2,0.6,1.6,1.4,0.4832321997522676,0.7839122560219141,9.0,26.0,2.0,52
