A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index
2.3333333333333335,0.0,1.3333333333333333,0.6666666666666666,0.0,2.3333333333333335,0.8638698787801952,0.9595093889028612,6.666666666666667,18.0,0.0,89
1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,0.8638698787801952,0.9999999999999999,2.3333333333333335,18.0,0.0,90
0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.30915740748028137,0.9999999999999999,1.3333333333333333,18.0,0.0,91
0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.9274722224408439,0.9999999999999999,0.3333333333333333,18.0,0.0,92
0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9274722224408439,0.9999999999999999,0.6666666666666666,18.0,0.0,93
0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,18.0,0.0,94
0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0,18.0,0.0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.333333333333332,2.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,17
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,17.0,3.0,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.6666666666666667,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.3333333333333335,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,2.3333333333333335,29
0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.3333333333333333,18.0,2.0,30
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,18.0,2.0,31
0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,18.0,2.0,32
0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.6666666666666667,19.333333333333332,2.6666666666666665,33
0.0,0.0,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,2.6666666666666665,20.0,3.0,34
0.3333333333333333,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,0.0,3.0,20.666666666666668,3.0,35
0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0,21.0,3.0,36
0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.3333333333333335,21.0,3.0,37
0.0,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,2.3333333333333335,21.0,3.0,38
0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1.6666666666666667,21.666666666666668,3.0,39
0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,2.3333333333333335,22.0,3.0,40
1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,3.6666666666666665,22.666666666666668,2.3333333333333335,41
0.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,2.6666666666666665,23.0,2.0,42
1.0,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,3.0,23.0,2.0,43
1.0,1.6666666666666667,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,5.0,23.0,2.0,44
0.6666666666666666,0.6666666666666666,0.0,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,3.0,23.666666666666668,2.0,45
1.6666666666666667,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,0.0,6.666666666666667,24.0,2.0,46
2.0,1.6666666666666667,0.3333333333333333,1.0,2.0,1.3333333333333333,0.0,0.0,8.333333333333334,24.666666666666668,2.0,47
